Volume_AAL,Volume_ALGT,Volume_ALK,Volume_DAL,Volume_HA,Volume_LUV,Volume_BCS,Volume_CS,Volume_DB,Volume_GS,Volume_MS,Volume_WFC,Volume_BHC,Volume_JNJ,Volume_MRK,Volume_PFE,Volume_RHHBY,Volume_UNH,Volume_AAPL,Volume_AMZN,Volume_FB,Volume_GOOG,Volume_IBM,Volume_MSFT,Volume_SP500
3651200,85400,1150800.0,6547600.0,1638500.0,3673800.0,1824900.0,4602700.0,3343000.0,7088400.0,15535000.0,18614700.0,10741400.0,11717300.0,7028500.0,14019700.0,1089200.0,8949700.0,75989200,2319700.0,15990100.0,1290200.0,6372400.0,16824000.0,2889390000
2542400,109700,690900.0,5402400.0,1067000.0,2580800.0,1304000.0,2330800.0,2527400.0,4235900.0,12094900.0,21604000.0,15476300.0,6827700.0,7886900.0,14418000.0,3815400.0,4796300.0,65496800,2499700.0,12752400.0,1057600.0,30490200.0,13300700.0,2998090000
7568200,183400,1846600.0,9567800.0,2201000.0,5945500.0,1898900.0,2418300.0,2711400.0,2710900.0,10053100.0,12669700.0,19618200.0,9181300.0,10071200.0,19789400.0,4016000.0,3471800.0,170336800,3108200.0,14048400.0,1313600.0,9914200.0,15092800.0,2990710000
3643400,79200,1213600.0,6707800.0,2200600.0,4905800.0,2281800.0,2460700.0,2948400.0,3022800.0,8454500.0,28407700.0,9259100.0,5634500.0,10304200.0,17502200.0,1657100.0,5138800.0,95896400,2365100.0,12602200.0,1183200.0,7868800.0,22866400.0,3384650000
3456500,78500,814400.0,4095100.0,1681200.0,4580200.0,1805000.0,4697300.0,3578500.0,1963300.0,6265800.0,18102100.0,7854300.0,6686000.0,11582000.0,15159400.0,1502700.0,2261400.0,87937200,3494100.0,13852700.0,1478400.0,5779400.0,20627200.0,3211710000
3654900,100500,1401200.0,5306700.0,2675200.0,4289300.0,2196700.0,3362300.0,6602100.0,2285300.0,7849700.0,18779400.0,7973800.0,6585800.0,10221100.0,15015300.0,1986400.0,3459900.0,71028800,2723900.0,12267900.0,1212200.0,8194700.0,17517200.0,3427330000
4658300,235800,8088500.0,6043500.0,1200000.0,10577600.0,2407600.0,3450300.0,5517000.0,2904300.0,9645800.0,17096900.0,9602300.0,6563600.0,11016700.0,16625700.0,3993800.0,2908300.0,84828400,3033100.0,15868200.0,1211300.0,6921100.0,20410800.0,3874510000
12079000,293500,6049300.0,10913600.0,2497500.0,14331700.0,13357900.0,2997700.0,6517700.0,1948800.0,9715700.0,15979200.0,11426000.0,5841100.0,10744300.0,17432900.0,3523400.0,4346000.0,68002000,5618700.0,11833100.0,2042100.0,4300500.0,32120700.0,3869050000
8591500,187300,4118400.0,7574000.0,1457100.0,8995800.0,5522900.0,3234800.0,5699400.0,2111500.0,9261100.0,17258600.0,9650700.0,5140100.0,29561300.0,14940100.0,3226200.0,4385300.0,177816800,16565000.0,30285300.0,5167700.0,4895200.0,71066700.0,3887110000
5402500,107700,1809300.0,3960500.0,1185700.0,4518500.0,3782500.0,2768100.0,4409700.0,1764400.0,9020900.0,12249200.0,8661300.0,6034300.0,38989400.0,25312700.0,2753500.0,2477400.0,178803200,6613100.0,24353200.0,2085100.0,4210400.0,31756700.0,3658870000
4596600,135000,2471200.0,4755400.0,1372500.0,4230300.0,2771500.0,3234500.0,2182000.0,2658700.0,9283000.0,14619200.0,14203000.0,4832100.0,18429200.0,23523800.0,1239900.0,3749600.0,144187200,3477000.0,20174200.0,1330700.0,4328300.0,27086600.0,3827230000
1772400,70300,1546100.0,5182500.0,2077900.0,2982000.0,3318100.0,1833700.0,4344300.0,1953900.0,5730400.0,13447000.0,19821000.0,4322300.0,13488300.0,23788100.0,1055300.0,2662200.0,67928400,2918400.0,9523400.0,885800.0,5107500.0,14196900.0,3402930000
1827100,81200,1670300.0,4855600.0,1365100.0,3060900.0,2640700.0,1835300.0,5284900.0,3000200.0,5968500.0,20830100.0,16274400.0,4078200.0,12705800.0,16393300.0,739500.0,1993900.0,99130000,3138400.0,9585900.0,959200.0,3758000.0,18801300.0,3641760000
5223100,80700,2797300.0,6561300.0,727800.0,4895700.0,2724900.0,2464900.0,7096500.0,2564100.0,9749600.0,18238600.0,10572300.0,4811500.0,11727400.0,12947000.0,1181900.0,1816300.0,116632400,3928700.0,10253700.0,854000.0,4773300.0,19383100.0,3558890000
4461400,130700,2483600.0,6969900.0,1525300.0,4550300.0,3413500.0,1432500.0,6044900.0,2304300.0,7789000.0,26361800.0,8341500.0,4193800.0,11996300.0,12927800.0,2421500.0,1919600.0,94550000,2213300.0,15607600.0,1129700.0,5446500.0,20962800.0,3312710000
2324800,104400,1819100.0,5005600.0,1701200.0,3104600.0,2294600.0,1630800.0,3859200.0,2826400.0,4992600.0,15814800.0,10932500.0,4247400.0,9884100.0,14847500.0,1190200.0,1887500.0,87598000,2413400.0,13018000.0,1397100.0,4916500.0,22079000.0,3300160000
2436000,86900,1897100.0,4254700.0,684800.0,4087400.0,4058800.0,2360600.0,3458800.0,2000700.0,4574600.0,16943100.0,21638800.0,4266300.0,17178700.0,11817400.0,4897400.0,2040400.0,65049600,2163900.0,10052400.0,953500.0,5676500.0,16315000.0,3003540000
