Close_AAL,Close_ALGT,Close_ALK,Close_DAL,Close_HA,Close_LUV,Close_BCS,Close_CS,Close_DB,Close_GS,Close_MS,Close_WFC,Close_BHC,Close_JNJ,Close_MRK,Close_PFE,Close_RHHBY,Close_UNH,Close_AAPL,Close_AMZN,Close_FB,Close_GOOG,Close_IBM,Close_MSFT,Close_SP500
41.23,189.830002,79.599998,47.240002,36.799999,46.23,13.31,21.530001,25.32,188.669998,33.59,55.279999,87.449997,102.040001,53.48,31.969999,32.900002,113.190002,29.719999,671.150024,105.739998,748.280029,138.600006,54.25,2089.139893
41.310001,190.440002,79.610001,46.869999,36.599998,45.880001,13.37,22.08,25.379999,189.149994,33.610001,55.220001,87.019997,101.959999,53.720001,32.869999,33.189999,114.410004,29.5075,675.340027,105.410004,748.150024,138.0,53.689999,2088.870117
41.689999,193.279999,79.760002,47.139999,36.889999,45.82,13.45,22.0,25.370001,190.470001,33.779999,55.389999,87.089996,102.370003,53.959999,32.790001,33.490002,114.339996,29.452499,673.26001,105.449997,750.26001,138.460007,53.93,2090.110107
41.259998,175.130005,79.730003,46.459999,36.200001,45.880001,13.45,22.049999,25.690001,190.020004,34.299999,55.099998,89.959999,101.239998,53.009998,32.77,33.490002,112.709999,29.575001,664.799988,104.239998,742.599976,139.419998,54.349998,2080.409912
41.77,173.639999,82.150002,50.18,38.009998,43.77,12.8,20.48,23.129999,176.399994,31.879999,53.200001,94.139999,102.150002,52.200001,32.18,33.540001,115.849998,28.120001,657.909973,104.660004,747.77002,135.929993,55.139999,2021.939941
42.599998,178.029999,82.129997,51.150002,37.779999,44.220001,12.91,20.879999,23.370001,182.009995,32.84,54.91,109.589996,104.129997,52.900002,32.259998,33.849998,117.610001,27.622499,658.640015,104.550003,743.400024,137.789993,55.200001,2043.410034
43.200001,175.100006,82.75,52.119999,38.560001,44.799999,13.16,21.42,23.85,186.210007,33.610001,55.849998,118.470001,105.25,54.02,32.580002,34.529999,118.830002,27.834999,675.77002,106.790001,758.090027,139.289993,56.130001,2073.070068
42.459999,172.300003,81.129997,51.029999,37.810001,43.509998,12.97,21.190001,23.620001,182.610001,32.380001,55.470001,111.379997,103.639999,52.66,32.330002,33.84,119.220001,27.245001,670.650024,106.220001,749.429993,136.75,55.700001,2041.890015
41.09,168.289993,79.949997,49.959999,37.02,42.740002,12.87,21.290001,23.33,175.490005,31.290001,53.790001,108.519997,101.949997,51.639999,31.99,33.689999,115.82,26.5075,664.140015,104.040001,739.309998,134.899994,54.130001,2005.550049
42.400002,174.919998,82.5,51.459999,37.48,43.369999,12.97,21.200001,23.65,177.75,31.68,54.02,108.760002,101.580002,51.869999,32.459999,33.779999,117.410004,26.8325,664.51001,104.769997,747.77002,135.5,54.830002,2021.150024
